Files already downloaded and verified
Files already downloaded and verified
Epoch 0 | Train Loss: 1.8011 | Val Loss: 1.4549
Epoch 1 | Train Loss: 1.5579 | Val Loss: 1.2990
Epoch 2 | Train Loss: 1.4628 | Val Loss: 1.2152
Epoch 3 | Train Loss: 1.4111 | Val Loss: 1.1747
Epoch 4 | Train Loss: 1.3706 | Val Loss: 1.1599
Epoch 5 | Train Loss: 1.2466 | Val Loss: 1.0514
Epoch 6 | Train Loss: 1.1995 | Val Loss: 1.0242
Epoch 7 | Train Loss: 1.1815 | Val Loss: 1.0102
Epoch 8 | Train Loss: 1.1573 | Val Loss: 0.9985
Epoch 9 | Train Loss: 1.1444 | Val Loss: 0.9788
Epoch 10 | Train Loss: 1.1319 | Val Loss: 0.9727
Epoch 11 | Train Loss: 1.1262 | Val Loss: 0.9701
Epoch 12 | Train Loss: 1.1276 | Val Loss: 0.9688
Epoch 13 | Train Loss: 1.1196 | Val Loss: 0.9664
Epoch 14 | Train Loss: 1.1170 | Val Loss: 0.9647
Epoch 15 | Train Loss: 1.1160 | Val Loss: 0.9643
Epoch 16 | Train Loss: 1.1173 | Val Loss: 0.9640
Epoch 17 | Train Loss: 1.1113 | Val Loss: 0.9638
Epoch 18 | Train Loss: 1.1182 | Val Loss: 0.9635
Epoch 19 | Train Loss: 1.1157 | Val Loss: 0.9637
[34m[1mwandb[0m: [33mWARNING[0m Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
Modele sauvegardé dans model.pth
